Date,open,Close,adjusted_close
01-01-2012,580.5,566.200012,451.553619
01-02-2012,564.700012,610.974976,488.608673
01-03-2012,611.5,584.400024,467.35614
01-04-2012,585,623.299988,498.465454
01-05-2012,625,622.674988,497.965363
01-06-2012,620,638.724976,510.800842
01-07-2012,639.5,621.825012,500.485809
01-08-2012,619.049988,671.875,542.099121
01-09-2012,675,647.950012,522.795349
01-10-2012,647.5,657.75,530.702515
01-11-2012,657.450012,657,531.312622
01-12-2012,657.5,627.924988,507.799652
01-01-2013,633.474976,672.075012,543.503662
01-02-2013,672,758.5,614.794983
01-03-2013,757.549988,787.875,638.604614
01-04-2013,782.5,689.200012,558.624695
01-05-2013,689.200012,749.224976,607.277161
01-06-2013,752,759.075012,615.261292
01-07-2013,756,907.75,742.34314
01-08-2013,905.025024,1016.599976,833.236877
01-09-2013,1010,963.900024,790.042358
01-10-2013,966,1056.025024,865.550842
01-11-2013,1055,1002.174988,823.052795
01-12-2013,997.5,1086.025024,891.916199
01-01-2014,1090.050049,1120.525024,920.249634
01-02-2014,1111,1137.875,936.163757
01-03-2014,1135.900024,1066.574951,877.502991
01-04-2014,1072.5,1094.599976,900.560181
01-05-2014,1094.599976,1070.675049,880.876282
01-06-2014,1072,1212.699951,997.724487
01-07-2014,1209.449951,1290.025024,1071.527344
01-08-2014,1287.5,1261.175049,1063.895264
01-09-2014,1262.699951,1368.300049,1154.262817
01-10-2014,1376,1303.925049,1099.958008
01-11-2014,1324.5,1321.5,1117.037231
01-12-2014,1325.25,1279.125,1081.21814
01-01-2015,1283.5,1241.025024,1049.012817
01-02-2015,1241,1331.175049,1127.467041
01-03-2015,1339.849976,1276.974976,1081.560913
01-04-2015,1279,1231.849976,1043.341187
01-05-2015,1231.849976,1305.150024,1105.424683
01-06-2015,1304.724976,1275.474976,1080.290527
01-07-2015,1281.949951,1255.375,1073.150879
01-08-2015,1251.699951,1282.025024,1098.288086
01-09-2015,1278,1294.025024,1108.568237
01-10-2015,1299.5,1247.599976,1068.796509
01-11-2015,1250,1186.775024,1023.35907
01-12-2015,1181.449951,1218.425049,1050.651245
01-01-2016,1219.5,1195.650024,1031.012085
01-02-2016,1195.550049,1088.400024,940.799805
01-03-2016,1096.5,1260.150024,1089.258179
01-04-2016,1252.5,1267.75,1095.827759
01-05-2016,1264.5,1284.699951,1110.479004
01-06-2016,1285.599976,1276.550049,1103.434326
01-07-2016,1281,1309.650024,1143.789917
01-08-2016,1316,1255.650024,1099.469849
01-09-2016,1262.449951,1215.400024,1064.226196
01-10-2016,1225,1199.349976,1050.172241
01-11-2016,1199.849976,1138.025024,999.149475
01-12-2016,1138.5,1182.775024,1038.438599
01-01-2017,1183.300049,1114.900024,978.846497
01-02-2017,1110,1233.125,1085.7323
01-03-2017,1239.949951,1215.900024,1070.566528
01-04-2017,1217.5,1136.574951,1000.722473
01-05-2017,1136.574951,1273.300049,1121.105103
01-06-2017,1265,1181.175049,1039.991455
01-07-2017,1178.699951,1245.900024,1109.244873
01-08-2017,1250,1248.175049,1114.401489
01-09-2017,1240,1217.974976,1087.438232
01-10-2017,1217.974976,1312,1171.385742
01-11-2017,1312,1318.5,1180.394165
01-12-2017,1317.5,1350.599976,1209.131714
01-01-2018,1341.150024,1556.175049,1393.173706
01-02-2018,1562,1517.525024,1361.793701
01-03-2018,1524.5,1424.574951,1278.382202
01-04-2018,1420,1766.050049,1584.814331
01-05-2018,1766.050049,1741.050049,1562.379639
01-06-2018,1754,1847.75,1671.927734
01-07-2018,1852,1940.199951,1755.580322
01-08-2018,1949.949951,2078.399902,1884.419556
01-09-2018,2084.800049,2183.699951,1979.891357
01-10-2018,2190.899902,1938.150024,1757.259277
01-11-2018,1943.650024,1968.25,1788.30896
01-12-2018,1984,1893.050049,1719.983643
01-01-2019,1896,2014.099976,1829.967285
01-02-2019,2009.5,1983.449951,1805.982056
01-03-2019,1995.050049,2001.650024,1822.553589
01-04-2019,2010,2260.350098,2058.106201
01-05-2019,2260.350098,2196.550049,2000.015137
01-06-2019,2201,2227.199951,2027.922485
01-07-2019,2235,2205.699951,2024.598755
01-08-2019,2200,2259.600098,2078.91748
