Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,688.000000,702.950012,634.650024,692.349976,689.986938,14026354
2015-12-01,693.500000,723.849976,661.000000,720.049988,717.592407,17083334
2016-01-01,720.000000,729.849976,651.000000,683.599976,681.266724,18631076
2016-02-01,683.150024,697.299988,585.750000,630.400024,628.248474,19974582
2016-03-01,620.000000,694.900024,620.000000,680.650024,678.326965,46094640
2016-04-01,682.000000,719.799988,655.500000,717.150024,714.702393,31440960
2016-05-01,714.200012,754.500000,692.500000,746.549988,744.002014,37368485
2016-06-01,749.750000,778.849976,710.750000,763.349976,760.744629,30755361
2016-07-01,764.000000,787.500000,737.599976,763.500000,760.894165,36153342
2016-08-01,766.000000,814.950012,748.000000,806.900024,804.665161,28940614
2016-09-01,813.000000,825.400024,766.099976,777.000000,774.848022,89904501
2016-10-01,788.950012,822.000000,764.000000,819.349976,817.080688,28002925
2016-11-01,819.900024,833.450012,736.200012,755.450012,753.357727,42365163
2016-12-01,755.000000,756.450012,704.099976,719.700012,717.706726,26148343
2017-01-01,720.000000,802.099976,692.500000,774.150024,772.005920,44099173
2017-02-01,777.500000,814.400024,739.150024,802.099976,799.878418,40821525
2017-03-01,802.099976,886.400024,802.049988,872.200012,869.784363,58586851
2017-04-01,877.000000,921.000000,867.200012,901.950012,899.451904,34535210
2017-05-01,901.950012,981.450012,900.000000,966.049988,963.374390,44835075
2017-06-01,963.349976,1004.650024,936.000000,955.750000,953.102966,29205378
2017-07-01,953.099976,1031.699951,940.200012,1021.650024,1018.820435,49065927
2017-08-01,1024.000000,1024.000000,962.000000,976.000000,973.906311,31459591
2017-09-01,979.000000,1045.400024,968.000000,1002.250000,1000.099976,40089825
2017-10-01,1002.250000,1115.050049,985.150024,1025.050049,1022.851135,41899920
2017-11-01,1032.000000,1050.000000,982.549988,1000.299988,998.154175,37039986
2017-12-01,1003.000000,1038.000000,992.500000,1010.200012,1008.032959,40949954
2018-01-01,1011.849976,1119.500000,992.500000,1108.949951,1106.571045,47457152
2018-02-01,1105.099976,1131.000000,1018.200012,1090.550049,1088.210693,40391566
2018-03-01,1088.099976,1108.500000,1028.400024,1047.800049,1045.552368,44822656
2018-04-01,1049.050049,1218.800049,1049.050049,1211.099976,1208.501953,34175127
2018-05-01,1211.099976,1400.000000,1211.099976,1334.599976,1331.737061,54299524
2018-06-01,1317.000000,1360.000000,1293.000000,1342.949951,1340.069092,35173718
2018-07-01,1348.849976,1417.000000,1285.500000,1306.849976,1304.046509,45776405
2018-08-01,1304.849976,1326.099976,1238.000000,1287.250000,1285.144287,44300762
2018-09-01,1292.000000,1295.000000,1120.150024,1141.599976,1139.732422,47303888
2018-10-01,1090.000000,1219.199951,1002.200012,1119.150024,1117.319214,79830676
2018-11-01,1123.699951,1238.400024,1101.099976,1233.949951,1231.931396,46162031
2018-12-01,1240.000000,1345.949951,1171.000000,1256.500000,1254.444458,114876745
2019-01-01,1254.000000,1307.949951,1198.000000,1255.750000,1253.695801,61325350
2019-02-01,1257.050049,1315.000000,1210.000000,1213.099976,1211.115601,132788832
2019-03-01,1221.699951,1364.650024,1217.349976,1334.500000,1332.317017,60933282
2019-04-01,1336.000000,1397.000000,1317.050049,1386.550049,1384.281860,46138673
2019-05-01,1386.550049,1555.900024,1366.300049,1522.150024,1519.660034,67704026
2019-06-01,1513.199951,1540.900024,1451.099976,1477.099976,1474.683716,39102647
2019-07-01,1486.900024,1546.849976,1440.000000,1519.550049,1517.064331,61289590
2019-08-01,1505.949951,1535.500000,1423.099976,1431.449951,1429.878662,52970068
2019-09-01,1431.449951,1683.949951,1398.650024,1644.449951,1642.644897,57926235
2019-10-01,1638.800049,1657.000000,1547.750000,1574.500000,1572.771729,52350121
2019-11-01,1572.000000,1635.000000,1541.000000,1615.199951,1613.427002,43119900
2019-12-01,1614.500000,1734.800049,1600.199951,1684.349976,1682.501099,52735547
2020-01-01,1689.000000,1729.000000,1576.000000,1691.750000,1689.893066,73427455
2020-02-01,1684.000000,1740.000000,1613.750000,1620.349976,1618.571411,45963298
2020-03-01,1631.000000,1676.500000,1001.000000,1296.050049,1294.627441,139185401
2020-04-01,1294.900024,1380.000000,1087.000000,1357.199951,1355.710205,141033505
2020-05-01,1357.199951,1357.199951,1110.000000,1224.000000,1222.656372,125506654
2020-06-01,1249.000000,1428.199951,1228.349976,1360.449951,1358.956665,153652669
2020-07-01,1319.000000,1424.699951,1267.000000,1365.750000,1364.250854,99598645
2020-08-01,1356.000000,1501.500000,1300.099976,1401.349976,1399.811768,90144015
2020-09-01,1419.849976,1442.000000,1230.599976,1268.199951,1266.807861,81886238
2020-10-01,1280.000000,1602.000000,1278.900024,1547.400024,1545.701416,119630821
2020-11-01,1555.000000,1948.400024,1534.800049,1907.099976,1905.006592,206825500
2020-12-01,1930.000000,2027.000000,1802.400024,1995.599976,1993.409424,91620880
2021-01-01,1996.900024,2007.949951,1701.000000,1712.949951,1711.069580,88276215
2021-02-01,1730.000000,2049.000000,1696.050049,1780.349976,1778.395752,100300260
2021-03-01,1811.000000,1999.349976,1742.599976,1753.000000,1751.075806,79038554
2021-04-01,1770.000000,1845.449951,1669.199951,1748.800049,1746.880493,62427221
2021-05-01,1735.000000,1813.250000,1685.000000,1807.699951,1805.715576,64351321
2021-06-01,1815.000000,1827.949951,1698.449951,1705.849976,1703.977417,77007922
2021-07-01,1709.900024,1768.500000,1626.000000,1654.800049,1652.983643,54847983
2021-08-01,1665.000000,1824.900024,1657.500000,1753.699951,1751.775024,72485678
2021-09-01,1753.750000,2077.800049,1738.000000,2005.500000,2004.293335,103099746
2021-10-01,1997.000000,2253.000000,1931.000000,2031.150024,2029.927979,73787664
2021-11-01,2055.000000,2127.600098,1932.699951,1961.900024,1960.719604,43881731
2021-12-01,1979.000000,1989.900024,1721.000000,1796.099976,1795.019409,79003991
2022-01-01,1797.000000,1976.150024,1782.199951,1857.250000,1856.132568,51278703
2022-02-01,1882.000000,1948.000000,1737.949951,1842.750000,1841.641357,55769944
2022-03-01,1842.750000,1842.750000,1672.550049,1753.849976,1752.794800,88134724
