Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,1584.949951,1705.000000,1534.750000,1689.750000,1536.080933,6338037
2012-02-01,1694.000000,1698.800049,1592.000000,1642.699951,1493.309692,9384189
2012-03-01,1631.000000,1779.000000,1630.449951,1764.750000,1604.260254,5837858
2012-04-01,1774.000000,1815.849976,1685.849976,1762.949951,1602.624023,5268189
2012-05-01,1762.949951,1780.750000,1631.250000,1685.599976,1532.308472,5538092
2012-06-01,1687.900024,1687.900024,1526.400024,1648.150024,1498.264282,7748008
2012-07-01,1636.000000,1719.800049,1590.500000,1614.949951,1480.733765,8507385
2012-08-01,1615.000000,1708.000000,1615.000000,1677.599976,1538.177368,4550446
2012-09-01,1675.050049,1815.000000,1616.300049,1645.650024,1508.882446,9072679
2012-10-01,1650.000000,1782.000000,1527.550049,1756.500000,1610.519897,6726099
2012-11-01,1767.000000,1830.000000,1711.050049,1819.400024,1668.192261,6036102
2012-12-01,1822.250000,1915.500000,1811.000000,1829.750000,1677.682007,6073882
2013-01-01,1831.599976,1970.000000,1821.099976,1915.900024,1756.672241,9403058
2013-02-01,1922.000000,1961.000000,1725.099976,1755.449951,1609.557129,8459315
2013-03-01,1752.000000,1834.000000,1720.400024,1766.500000,1619.688721,4560991
2013-04-01,1779.000000,2038.650024,1768.250000,2028.199951,1859.639160,7550136
2013-05-01,2028.199951,2152.000000,1970.000000,2092.000000,1918.137085,9317904
2013-06-01,2093.100098,2233.899902,2034.199951,2218.850098,2034.444702,6279834
2013-07-01,2217.899902,2404.800049,2135.800049,2281.199951,2091.612793,8992642
2013-08-01,2300.000000,2367.000000,2027.000000,2292.899902,2116.166504,6892056
2013-09-01,2271.600098,2474.399902,2194.199951,2381.149902,2197.614502,5434164
2013-10-01,2372.949951,2545.149902,2354.000000,2456.399902,2267.063965,6752780
2013-11-01,2456.000000,2500.000000,2377.100098,2484.800049,2293.274902,4581214
2013-12-01,2499.000000,2557.550049,2391.149902,2534.600098,2339.236328,4481172
2014-01-01,2545.000000,2691.949951,2460.199951,2609.550049,2408.409424,5888449
2014-02-01,2605.000000,2939.399902,2516.550049,2895.500000,2672.318604,6713826
2014-03-01,2878.000000,2878.000000,2546.399902,2563.899902,2366.277832,8671245
2014-04-01,2581.000000,2781.750000,2520.050049,2706.149902,2497.563721,7367523
2014-05-01,2706.149902,2755.000000,2246.500000,2460.649902,2270.986816,15198317
2014-06-01,2465.000000,2630.199951,2291.149902,2624.050049,2421.791504,9302102
2014-07-01,2626.000000,2849.949951,2599.649902,2808.699951,2592.209473,7465526
2014-08-01,2775.000000,2975.000000,2711.100098,2947.899902,2739.281982,6288749
2014-09-01,2951.000000,3356.500000,2941.199951,3229.600098,3001.046387,6938968
2014-10-01,3254.000000,3277.000000,2867.000000,3168.300049,2944.084473,5939013
2014-11-01,3189.899902,3639.000000,3168.699951,3606.250000,3351.041504,5346124
2014-12-01,3602.000000,3666.250000,3057.000000,3246.199951,3016.471680,7533342
2015-01-01,3230.000000,3389.750000,3010.000000,3233.250000,3004.437988,8421771
2015-02-01,3179.750000,3424.949951,3007.000000,3278.050049,3046.067871,6034253
2015-03-01,3363.000000,3575.000000,3300.149902,3488.750000,3241.856934,6349966
2015-04-01,3541.000000,3807.800049,3276.500000,3310.250000,3075.989014,6215463
2015-05-01,3310.250000,3692.649902,3250.050049,3535.250000,3285.066162,7175340
2015-06-01,3528.000000,3572.000000,3266.550049,3559.449951,3307.553467,5405692
2015-07-01,3548.000000,4093.500000,3535.399902,4076.100098,3787.640869,7868566
2015-08-01,4090.100098,4337.950195,3932.000000,4302.649902,4019.699707,8081901
2015-09-01,4304.850098,4309.450195,3851.649902,4162.350098,3888.626221,8612268
2015-10-01,4213.750000,4386.600098,4080.100098,4279.899902,3998.445068,10753973
2015-11-01,4253.000000,4379.200195,3047.050049,3110.000000,2905.480469,24664377
2015-12-01,3132.000000,3265.000000,2951.000000,3108.600098,2904.172363,11709161
2016-01-01,3118.800049,3123.000000,2750.050049,3105.399902,2901.182617,7994450
