Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,460.549988,515.500000,452.575012,506.200012,421.903076,165933242
2017-03-01,506.000000,522.000000,499.500000,511.125000,426.007904,135683968
2017-04-01,516.075012,516.224976,455.100006,459.475006,382.959106,141615584
2017-05-01,459.475006,500.000000,457.549988,488.524994,407.171417,122586584
2017-06-01,484.649994,494.450012,460.500000,467.774994,389.876892,157335112
2017-07-01,470.549988,510.850006,466.524994,505.600006,427.862213,168735660
2017-08-01,505.500000,514.625000,430.000000,457.475006,387.136566,582373864
2017-09-01,457.975006,462.950012,436.825012,449.950012,380.768585,212424430
2017-10-01,449.950012,478.850006,448.575012,460.924988,390.056152,183699102
2017-11-01,462.500000,509.649994,458.475006,488.049988,418.776978,170098888
2017-12-01,489.700012,524.400024,478.524994,521.025024,447.071564,161246954
2018-01-01,518.849976,610.525024,503.000000,575.125000,493.492798,264683322
2018-02-01,571.099976,594.750000,545.099976,586.299988,503.081665,181417514
2018-03-01,584.799988,598.500000,563.125000,565.900024,485.577179,150685258
2018-04-01,570.500000,607.200012,551.000000,599.750000,514.622498,238890178
2018-05-01,599.750000,624.325012,577.500000,615.900024,528.480286,152659266
2018-06-01,615.200012,657.500000,606.000000,653.599976,560.829102,148892806
2018-07-01,657.000000,696.900024,634.049988,682.549988,590.300415,222750566
2018-08-01,681.900024,727.150024,673.750000,720.549988,623.164734,153220648
2018-09-01,724.500000,748.500000,692.000000,730.049988,631.380737,151520717
2018-10-01,737.500000,754.900024,629.900024,686.400024,593.630249,186538368
2018-11-01,689.700012,689.700012,599.849976,667.450012,583.527527,169740064
2018-12-01,673.150024,713.700012,637.349976,658.950012,576.096191,154714992
2019-01-01,660.950012,751.299988,651.000000,749.549988,655.304504,212509846
2019-02-01,751.349976,772.250000,721.299988,734.299988,645.500977,119007692
2019-03-01,735.500000,747.950012,705.349976,743.849976,653.896057,162357177
2019-04-01,742.000000,773.000000,712.599976,751.349976,660.489075,171634154
2019-05-01,751.349976,751.349976,697.450012,737.750000,648.533875,195603027
2019-06-01,729.799988,759.000000,728.150024,732.000000,643.479187,124691033
2019-07-01,735.000000,804.000000,706.500000,793.650024,707.529236,177830373
2019-08-01,786.450012,817.349976,760.150024,814.900024,726.473450,150021483
2019-09-01,814.900024,847.000000,741.900024,805.650024,718.227234,162140933
2019-10-01,807.000000,823.799988,615.099976,685.599976,611.204041,383038274
2019-11-01,690.000000,732.500000,678.150024,696.349976,635.219788,222300056
2019-12-01,703.099976,737.950012,688.549988,731.150024,666.964905,141177094
2020-01-01,735.000000,792.799988,708.299988,775.950012,707.832031,189277362
2020-02-01,775.099976,811.599976,722.049988,731.700012,667.466675,112890806
2020-03-01,737.000000,773.549988,509.250000,641.500000,585.184875,305156542
2020-04-01,634.349976,720.000000,582.150024,715.500000,652.688721,203538623
2020-05-01,715.500000,715.500000,646.700012,691.000000,630.339600,180604556
2020-06-01,698.750000,751.599976,675.500000,735.950012,680.481995,240810488
2020-07-01,737.250000,986.450012,729.750000,966.000000,893.193298,397100277
2020-08-01,960.000000,974.400024,914.599976,928.599976,858.612122,155088967
2020-09-01,926.250000,1037.000000,912.099976,1008.250000,932.259033,232397098
2020-10-01,1020.599976,1186.000000,1011.750000,1060.599976,980.663452,284991815
2020-11-01,1065.000000,1154.900024,1051.099976,1100.000000,1028.020142,208543153
2020-12-01,1105.050049,1258.849976,1105.050049,1255.800049,1173.625122,205793830
2021-01-01,1257.900024,1392.800049,1231.000000,1239.050049,1157.971069,206714641
2021-02-01,1250.550049,1332.000000,1241.000000,1253.300049,1171.288818,135880762
2021-03-01,1263.300049,1406.000000,1259.000000,1368.050049,1278.529907,170796692
2021-04-01,1380.000000,1477.550049,1320.000000,1354.349976,1265.726196,174375276
2021-05-01,1340.800049,1416.250000,1311.300049,1393.750000,1302.548096,110635877
2021-06-01,1400.000000,1591.000000,1365.000000,1580.800049,1493.300537,147298100
2021-07-01,1576.849976,1623.400024,1533.750000,1610.500000,1521.356567,109513508
2021-08-01,1627.449951,1757.000000,1619.199951,1706.449951,1611.995483,132748512
2021-09-01,1709.500000,1788.000000,1655.000000,1675.199951,1582.475220,113957923
2021-10-01,1665.099976,1848.000000,1661.050049,1667.750000,1575.437622,144440594
