Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,149.625031,159.375046,143.437531,155.212540,139.073212,80701357
2012-02-01,154.875031,169.875046,153.750031,162.131287,145.974625,67103042
2012-03-01,162.375046,168.018799,156.093796,165.037537,148.591278,74925947
2012-04-01,164.100037,169.387543,149.437531,151.893784,136.757309,86936342
2012-05-01,151.893784,157.687546,142.012527,153.750031,138.428589,64947709
2012-06-01,151.650040,155.587540,145.125031,149.962540,135.018509,56120185
2012-07-01,150.450043,151.687531,121.987534,127.518784,115.973396,110172780
2012-08-01,127.575027,139.687531,125.868782,135.975037,123.663979,59411707
2012-09-01,136.087540,148.481293,134.137527,142.893784,129.956314,67633158
2012-10-01,142.125031,145.218781,125.400032,131.493774,119.588478,96330902
2012-11-01,130.500031,148.500031,130.500031,147.468781,134.117111,84982903
2012-12-01,147.412537,149.981293,137.400040,147.937531,134.543457,59712652
2013-01-01,148.518784,164.850037,146.681290,154.331284,140.358307,121896880
2013-02-01,153.750031,159.675034,144.412537,156.150040,142.728271,73443901
2013-03-01,157.500046,171.000046,156.806290,163.931290,149.840714,78423726
2013-04-01,163.987534,173.625046,122.700027,130.631287,119.402969,140789449
2013-05-01,130.631287,135.543777,118.068779,122.868782,112.307678,93576557
2013-06-01,123.787529,132.000031,119.962532,130.875031,119.625748,78092236
2013-07-01,130.875031,165.375046,128.062531,164.250046,152.319946,113139360
2013-08-01,164.250046,185.625046,160.312546,181.350052,168.177887,152347095
2013-09-01,181.143799,187.725052,167.587540,177.393799,164.509003,156097435
2013-10-01,178.462540,194.906296,175.387543,179.137543,166.126114,178779483
2013-11-01,178.968796,186.637543,175.650040,176.550049,163.726517,96788781
2013-12-01,177.750046,210.562546,174.993790,209.700058,194.468719,93071932
2014-01-01,211.500046,220.125061,199.350052,215.643799,199.980743,107368558
2014-02-01,211.200058,229.125061,204.000046,223.968811,208.797043,72571528
2014-03-01,225.000061,225.000061,198.262543,203.700043,189.901291,96776318
2014-04-01,205.125046,223.012558,193.875046,195.881302,182.612167,114909317
2014-05-01,195.881302,199.481293,178.012543,189.825043,176.966202,133370032
2014-06-01,190.012543,207.375046,181.950043,204.900055,191.020035,100984742
2014-07-01,205.462555,217.500061,198.750046,204.150055,190.320801,121788060
2014-08-01,204.000046,213.018799,200.625046,211.968796,199.432739,76968330
2014-09-01,212.250046,224.625061,208.500046,223.800049,210.564255,85692150
2014-10-01,224.287552,233.212555,205.181305,211.387558,198.885864,112191740
2014-11-01,213.750046,221.250061,205.650055,219.675049,206.683228,101986134
2014-12-01,220.500061,225.337555,196.818802,208.200058,195.886887,79716366
2015-01-01,207.206299,230.437561,201.881302,227.456299,214.004288,122268381
2015-02-01,229.500061,251.625061,228.375061,245.362564,232.829010,88873177
2015-03-01,247.537567,254.100067,228.206314,235.818802,223.772797,93498380
2015-04-01,233.775055,238.668808,192.187546,201.975052,191.657822,117818330
2015-05-01,201.975052,212.287552,196.912552,210.637558,199.877869,92397802
2015-06-01,210.000046,216.656311,198.375046,205.012558,194.540222,95865318
2015-07-01,204.018799,222.675049,202.968796,213.693802,202.777969,69812306
2015-08-01,214.125046,220.312561,198.112549,214.425049,206.009171,74590889
2015-09-01,214.237549,226.837555,204.056305,224.193802,215.394470,79319699
2015-10-01,224.268799,229.987564,211.743805,214.818802,206.387436,75312048
2015-11-01,215.062546,217.368805,203.343796,213.731308,205.342636,65841144
2015-12-01,217.200058,220.293808,205.687546,209.962555,201.721817,67139096
2016-01-01,209.925049,212.137558,199.031296,211.050049,202.766617,63320428
2016-02-01,212.100052,215.212555,190.462540,195.093796,189.155884,59758481
2016-03-01,196.875046,213.750046,196.293793,211.593796,205.153732,90149107
2016-04-01,212.625046,227.625061,203.325043,207.881302,201.554199,88101993
2016-05-01,206.625046,207.356308,199.312546,204.543808,198.318283,68563985
2016-06-01,204.600052,211.818802,200.025055,209.231308,202.863113,74555250
2016-07-01,209.906296,216.675049,194.250046,204.393799,198.172867,92072035
2016-08-01,204.393799,210.656296,178.912537,184.368790,179.076157,101610502
2016-09-01,183.637543,183.656296,176.250046,179.606293,174.450363,106212303
2016-10-01,180.000046,187.931290,170.287537,173.287537,168.313004,80451982
2016-11-01,174.393799,176.606293,153.037537,174.468796,169.460373,95254650
2016-12-01,176.137543,178.875046,169.312546,177.918793,172.811325,53080495
2017-01-01,178.143799,182.887543,167.006287,171.750046,166.819656,59706096
2017-02-01,172.875046,184.725052,167.287537,183.300049,178.038101,55383080
2017-03-01,183.000046,194.512543,181.256302,193.387543,188.663467,74981016
2017-04-01,193.668793,194.175049,181.125046,185.343796,180.816223,106548788
2017-05-01,185.343796,204.337555,185.100052,200.812546,195.907120,78786297
2017-06-01,200.793793,213.000046,189.000046,193.762543,189.029327,81602126
2017-07-01,195.000046,220.125061,189.000046,216.337555,211.052872,100838202
2017-08-01,216.750061,225.375061,213.675049,224.325058,218.845276,80281886
2017-09-01,223.500061,227.550049,209.400055,210.187546,205.053070,96902080
2017-10-01,210.187546,227.962555,210.187546,220.537552,215.150269,48583886
2017-11-01,222.000061,231.562561,217.012558,218.925049,213.577179,54481580
2017-12-01,219.000061,237.300064,210.000046,235.687561,229.930191,59712752
2018-01-01,233.625061,250.500061,226.162552,228.525055,222.942642,96055904
2018-02-01,228.787552,231.825058,213.000046,219.600052,214.935104,84544264
2018-03-01,219.600052,226.500061,204.262558,210.862549,206.383209,86156846
2018-04-01,212.625046,225.750061,205.500046,209.062546,204.621460,79056106
2018-05-01,209.062546,210.600052,193.500046,196.425049,192.252411,74176446
